,y_true,predicted,lower,upper
1771,2.4371567,2.1047506,-0.5664282,4.7759295
1772,1.9675808,2.2868862,-0.49134994,5.0651226
1773,2.032141,1.497468,-1.3099,4.3048363
1774,1.7408172,1.0106939,-1.7202209,3.7416086
1775,1.387972,0.959527,-1.9752996,3.8943536
1776,1.1205916,0.85385597,-2.4720635,4.179775
1777,0.930366,0.622224,-2.659927,3.904375
1778,0.7105734,0.25955826,-2.9426503,3.4617667
1779,0.76749885,-0.11089742,-3.4758053,3.2540107
1780,-0.71784705,-0.24313813,-3.6284955,3.1422193
1781,-1.9515585,-0.48509952,-3.7445383,2.7743392
1782,-1.9997928,-0.4913431,-3.7327697,2.7500837
1783,-1.3932241,-0.80039704,-4.1360726,2.5352783
1784,-1.4388496,-1.0040246,-4.4312224,2.423173
1785,-1.2834506,-1.1298941,-4.622704,2.3629155
1786,-1.0804218,-1.117286,-3.6262934,1.3917215
1787,-1.0309693,-1.1126754,-3.2789848,1.0536339
1788,-0.8124096,-1.1074218,-3.3423781,1.1275345
1789,-1.3174577,-1.4223003,-3.8282685,0.98366785
1790,-1.4510524,-1.5102891,-3.8998752,0.8792969
1791,-1.3363343,-1.2893863,-3.1518893,0.5731169
1792,-0.9708246,-1.007724,-3.093091,1.0776429
1793,-0.5223352,-0.5458883,-2.5608091,1.4690326
1794,0.9306887,0.7208216,-1.5058506,2.9474938
1795,2.1117156,2.0038984,-0.6413324,4.649129
1796,2.3220146,2.2092626,-0.29592228,4.7144475
1797,1.984757,1.8961179,-0.87952113,4.6717567
1798,1.8243954,1.6065943,-1.5827153,4.795904
1799,1.2843591,1.286344,-1.9613779,4.534066
1800,1.0872178,1.17647,-2.1241138,4.4770536
1801,0.8460164,0.8964287,-2.5572271,4.3500843
1802,0.57498676,0.627504,-2.7100353,3.9650435
1803,-0.07885648,-0.32687008,-3.5897837,2.9360437
1804,-0.93316466,-1.3106985,-4.606554,1.9851568
1805,-2.0742433,-1.765627,-4.925749,1.3944949
1806,-1.8826588,-1.7114229,-5.0029325,1.580087
1807,-1.5418845,-1.3914115,-4.434084,1.6512611
1808,-1.4221278,-1.3266916,-4.382272,1.7288888
1809,-1.3105384,-1.2362595,-4.5254674,2.0529485
1810,-1.2096816,-1.4268699,-3.0700321,0.21629226
1811,-1.1065397,-1.2628644,-3.0637908,0.538062
1812,-1.0091466,-1.0676224,-2.843585,0.70834017
1813,-0.8995603,-0.949232,-2.4154136,0.51694965
1814,-0.84609383,-0.848322,-1.9680386,0.27139455
1815,-0.2651665,-0.63148516,-2.0102303,0.7472599
1816,1.3887024,0.7636812,-0.8220699,2.3494322
1817,2.6646104,2.368211,0.4453473,4.2910748
1818,2.3637466,2.119642,-0.1135726,4.3528566
1819,0.72078955,0.7496295,-1.533571,3.03283
1820,0.060636673,0.4555794,-1.8966907,2.8078494
1821,-0.025751902,0.7730503,-2.0855262,3.6316268
1822,0.16914894,0.7947707,-2.0957074,3.6852489
1823,0.18713601,0.6335534,-2.3413363,3.6084428
1824,-0.11382906,0.31816423,-2.7161455,3.3524737
1825,-0.19667917,0.13154149,-2.8633115,3.1263945
1826,0.9808977,0.4144528,-2.504102,3.3330076
1827,2.1328018,1.045658,-1.8934499,3.984766
